id,ref,name
residence_1,1,"CASABLANCA"
residence_2,2,"ADIR"
residence_3,3,"AIT BELFAA"
residence_4,4,"AIN HARROUDA"
residence_5,5,"ADAR"
residence_6,6,"OULAD SAID LOUED"
residence_7,7,"OULAD M'BAREK"
residence_8,8,"MZOURA"
residence_9,9,"CHOUGRANE"
residence_10,10,"AHMAR LAGLALCHA"
residence_11,11,"AIT M'HAMED"
residence_12,12,"TROUGOUT"
residence_13,13,"ALI MOUMEN"
residence_14,14,"ANERGUI"
residence_15,15,"AGHBALA"
residence_16,16,"FOUM EL ANCEUR"
residence_17,17,"AZEMMOUR"
residence_18,18,"AZILAL"
residence_19,19,"TAZERKOUNT"
residence_20,20,"BENI-MELLAL"
residence_21,21,"TIMOULILT"
residence_22,22,"BERRECHID"
residence_23,23,"BNI OUKIL"
residence_24,24,"BINE EL OUIDANE"
residence_25,25,"TIZI N'ISLY"
residence_26,26,"BIR JDID"
residence_27,27,"SIDI JABER"
residence_28,28,"EL GARA"
residence_29,29,"BEJAAD"
residence_30,30,"BOUJNIBA"
residence_31,31,"BOULAOUANE"
residence_32,32,"BENSLIMANE"
residence_33,33,"BOUSKOURA"
residence_34,34,"BRADIA"
residence_35,35,"RIAH"
residence_36,36,"DAR BOUAZZA"
residence_37,37,"DAR OULD ZIDOUH"
residence_38,38,"DEROUA"
residence_39,39,"AIT MAJDEN"
residence_40,40,"HATTANE"
residence_41,41,"MAADNA (ARBAA)"
residence_42,42,"EL KSIBA"
residence_43,43,"EL BOROUJ"
residence_44,44,"BZOU"
residence_45,45,"MOHAMMEDIA"
residence_46,46,"TANOUGHA"
residence_47,47,"FKIH BEN SALAH"
residence_48,48,"OULAD FENNANE (HAD)"
residence_49,49,"RHORM EL-ALEM"
residence_50,50,"KASBA TADLA"
residence_51,51,"ZMAMRA"
residence_52,52,"KHLOTT"
residence_53,53,"KHOURIBGA"
residence_54,54,"OUAD DERNA"
residence_55,55,"EL-JADIDA"
residence_56,56,"MECHRA BEN ABBOU"
residence_57,57,"MEDIOUNA"
residence_58,58,"BEN AHMED"
residence_59,59,"LOUALIDIA"
residence_60,60,"BOUGUARGOUH"
residence_61,61,"MOUALINE EL OUED"
residence_62,62,"DECHRA BRAKSA"
residence_63,63,"M GARTO"
residence_64,64,"OULAD YAICH"
residence_65,65,"OUAOUIZEGHT"
residence_66,66,"M'TAL"
residence_67,67,"OULAD M'HAMED"
residence_68,68,"OUED ZEM"
residence_69,69,"OULAD FARES EL HALLA"
residence_70,70,"OULAD CEBBAH"
residence_71,71,"ZIAIDA"
residence_72,72,"SETTAT"
residence_73,73,"LAAOUNATE"
residence_74,74,"RAS EL AIN CHAOUIA"
residence_75,75,"MTOUH -KHMIS-"
residence_76,76,"SIDI BENNOUR"
residence_77,77,"SIDI AISSA BEN ALI"
residence_78,78,"SIDI EL AIDI"
residence_79,79,"LGHARBIA"
residence_80,80,"SIDI HAJJAJ"
residence_81,81,"MOUALINE EL GHABA"
residence_82,82,"OULAD ALI TOUALAA"
residence_83,83,"SEMGUET"
residence_84,84,"SIDI SMAIL"
residence_85,85,"SOUK SEBT OULED NEMMA"
residence_86,86,"BNI YAKHLEF"
residence_87,87,"TAGLEFT"
residence_88,88,"OULAD AISSA"
residence_89,89,"TAGHZIRT"
residence_90,90,"TILOUGGUITE"
residence_91,91,"TIT MELLIL"
residence_92,92,"ZAOUIAT AHANSAL"
residence_93,93,"ZAOUIAT CHEIKH"
residence_94,94,"OULAD ABBOU"
residence_95,95,"OULAD FREJ"
residence_96,96,"TANANT"
residence_97,97,"OULAD BOUMOUSSA-HAD"
residence_98,98,"OULAD SAID"
residence_99,99,"M'FASSIS"
residence_100,100,"FES"
residence_101,101,"OUKAIMEDEN"
residence_102,102,"RIBAT EL-KHEIR"
residence_103,103,"AIN AICHA"
residence_104,104,"AIN CHKEF"
residence_105,105,"OULAD ABDOUNE"
residence_106,106,"MOULAY BOUCHTA"
residence_107,107,"OULAD TAYEB"
residence_108,108,"AIN BEIDA"
residence_109,109,"AIN ES-SBIT"
residence_110,110,"TAMDA"
residence_111,111,"AIN MEDIOUNA"
residence_112,112,"BNI FTAH ARBAA"
residence_113,113,"AKNOUL"
residence_114,114,"ANNOCEUR"
residence_115,115,"LAAJAJRA"
residence_116,116,"TABOUDA"
residence_117,117,"BAB EL-MROUJ"
residence_118,118,"OULAD MIMOUN"
residence_119,119,"TINE AMELLOU"
residence_120,120,"SBOUYA"
residence_121,121,"TEMSIA"
residence_122,122,"BNI LENT"
residence_123,123,"FASK"
residence_124,124,"BARKINE"
residence_125,125,"SIDI RAHAL"
residence_126,126,"BIR TAMTAM"
residence_127,127,"CASA-ANFA"
residence_128,128,"BOUADEL"
residence_129,129,"BOULEMANE"
residence_130,130,"BOURD"
residence_131,131,"CASA-AIN SBAA HAY MOHAMMADI"
residence_132,132,"CASA-BEN MSIK SIDI OTHMANE"
residence_133,133,"CASA AIN CHOK HAY HASSANI"
residence_134,134,"KFIFATE  SEBT"
residence_135,135,"ASSADASS  ARBAA"
residence_136,136,"ARAZANE  KHMISS"
residence_137,137,"TABANT"
residence_138,138,"RIAD"
residence_139,139,"IRIGH N'TAHALA"
residence_140,140,"AFFELA IGHIR"
residence_141,141,"EL-ADREJ"
residence_142,142,"IDA OU GOUGMAR"
residence_143,143,"AIT RBAA"
residence_144,144,"SIDI MOUSSA BEN ALI"
residence_145,145,"EL-MENZEL"
residence_146,146,"EL ARGOUB"
residence_147,147,"RAS EL AIN"
residence_148,148,"PRAGUE"
residence_149,149,"RHOUAZI"
residence_150,150,"GUERCIF"
residence_151,151,"GUIGOU"
residence_152,152,"HADDADA"
residence_153,153,"IMOUZZER KANDAR"
residence_154,154,"IMOUZZER MARMOUCHA"
residence_155,155,"LOULJA"
residence_156,156,"KARIA BA MOHAMED"
residence_157,157,"KAF EL GHAR"
residence_158,158,"KETAMA"
residence_159,159,"KSABI-MOULOUYA"
residence_160,160,"BOUHOUDA"
residence_161,161,"ZRIZER"
residence_162,162,"MATMATA"
residence_163,163,"MAGHRAOUA"
residence_164,164,"MEZGUITEM"
residence_165,165,"MISSOUR"
residence_166,166,"MKANSA"
residence_167,167,"MOULAY YACOUB"
residence_168,168,"MIKKES"
residence_169,169,"BOUCHABEL"
residence_170,170,"OUAD AMLIL"
residence_171,171,"BERLIN"
residence_172,172,"OUAD NJA"
residence_173,173,"LIMA"
residence_174,174,"DJAKARTA"
residence_175,175,"OURTZARH"
residence_176,176,"OUTAT EL-HAJ"
residence_177,177,"BOGOTA"
residence_178,178,"EL FIDA"
residence_179,179,"CARACAS"
residence_180,180,"RAS TABOUDA"
residence_181,181,"LOUANDA"
residence_182,182,"RATBA"
residence_183,183,"RHAFSAI"
residence_184,184,"SAKA"
residence_185,185,"SEFROU"
residence_186,186,"AIOUN SENAME"
residence_187,187,"SIDI BOUBKER"
residence_188,188,"TAZOUTA"
residence_189,189,"DIJON"
residence_190,190,"SIDI HARAZEM"
residence_191,191,"OUM DREYGA"
residence_192,192,"SIDI YAHYA"
residence_193,193,"SKOURA M'DAZ"
residence_194,194,"MAHIRIJA"
residence_195,195,"SEBAA ROUADI"
residence_196,196,"AIT SAGHROUCHEN"
residence_197,197,"TAFRANT"
residence_198,198,"ZRARDA"
residence_199,199,"TAHLA"
residence_200,200,"THAR ESSOUK"
residence_201,201,"TAINASTE"
residence_202,202,"BAB MARZOUKA"
residence_203,203,"BOUKELLAL SEBT"
residence_204,204,"IZARRA"
residence_205,205,"TAOUNATE"
residence_206,206,"AZZABA"
residence_207,207,"TAZA"
residence_208,208,"TAZAGHINE"
residence_209,209,"OULAD ALI YOUSSEF"
residence_210,210,"OULAD DAOUD"
residence_211,211,"TIRHBOULA"
residence_212,212,"RAS EL OUED"
residence_213,213,"TISSA"
residence_214,214,"SIDI ABDERRAZA"
residence_215,215,"BNI AMAR"
residence_216,216,"TIZI OUASLI"
residence_217,217,"TICHLA"
residence_218,218,"AOUSSERD"
residence_219,219,"MSILA"
residence_220,220,"ZOUAOUA"
residence_221,221,"BNI OUNJEL TAFRAOUT"
residence_222,222,"AIN KANSERA"
residence_223,223,"BHALIL"
residence_224,224,"SIDI MOKHFI"
residence_225,225,"BNI FRASSEN"
residence_226,226,"OULAD ZBAIR"
residence_227,227,"BIR GANDOUZ"
residence_228,228,"BERLIN"
residence_229,229,"AIN CHEGGAG"
residence_230,230,"BNI OULID"
residence_231,231,"BNI BOUAYACH"
residence_232,232,"GUERROUAOUA"
residence_233,233,"JORF LASFAR"
