"id","country_id:id","name","code"
state_ma_co,base.ma,"Chaouia-Ouardigha","CO"
state_ma_da,base.ma,"Doukkala-Abda","DA"
state_ma_fb,base.ma,"Fès-Boulemane","FB"
state_ma_gb,base.ma,"Gharb-Chrarda-Béni Hssen","GB"
state_ma_gc,base.ma,"Grand Casablanca","GC"
state_ma_ge,base.ma,"Guelmim-Es Semara","GE"
state_ma_lb,base.ma,"Laâyoune-Boujdour-Sakia El Hamra","LB"
state_ma_mk,base.ma,"Marrakech-Tensift-El Haouz","MK"
state_ma_mt,base.ma,"Meknès-Tafilalet","MT"
state_ma_or,base.ma,"Oriental","OR"
state_ma_ol,base.ma,"Oued Ed-Dahab-Lagouira","OL"
state_ma_rz,base.ma,"Rabat-Salé-Zemmour-Zaer","RZ"
state_ma_sm,base.ma,"Souss-Massa-Drâa","SM"
state_ma_td,base.ma,"Tadla-Azilal","TD"
state_ma_to,base.ma,"Tangier-Tétouan","TO"
state_ma_th,base.ma,"Taza-Al Hoceima-Taounate","TH"
