grade_id/id;echelon;code;name
10020101;5;1095;1095-5
10020101;5;1095;1095-5
10020201;4;990;990-4
10020301;4;1020;1020-4
10020101;4;1065;1065-4
10020302;4;900;900-4
10020102;4;945;945-4
99130201;4;812;812-4
10020102;4;945;945-4
10020102;4;945;945-4
10020102;4;945;945-4
10020201;3;960;960-3
10020102;4;945;945-4
10020102;4;945;945-4
10020102;4;945;945-4
99130201;4;812;812-4
99150102;10;318;318-10
10020304;1;509;509-1
10020202;4;870;870-4
10020302;4;900;900-4
10020102;4;945;945-4
10020302;4;900;900-4
10020102;4;945;945-4
10020102;3;915;915-3
11090302;8;574;574-8
11100201;2;746;746-2
10020102;4;945;945-4
99130201;2;746;746-2
99150103;6;209;209-6
10020304;3;574;574-3
10020102;3;915;915-3
10020101;3;1035;1035-3
10020102;3;915;915-3
10020102;2;885;885-2
11090201;10;639;639-10
99040008;4;296;296-4
10020203;1;580;580-1
10020304;3;574;574-3
99150103;7;222;222-7
10020102;4;945;945-4
11090201;9;606;606-9
10020202;4;870;870-4
99130203;3;326;326-3
10020302;4;900;900-4
11100201;2;746;746-2
10020302;4;900;900-4
10020304;3;574;574-3
10020102;4;945;945-4
10020102;3;915;915-3
10020102;4;945;945-4
10020202;4;870;870-4
99130202;4;436;436-4
10020304;1;509;509-1
99150103;5;197;197-5
99150103;3;173;173-3
11110201;2;746;746-2
99150103;6;209;209-6
10020102;4;945;945-4
10020103;4;835;835-4
10020202;4;870;870-4
10020103;4;835;835-4
10020102;4;945;945-4
10020202;4;870;870-4
99040009;6;293;293-6
99150103;6;209;209-6
99130202;3;403;403-3
10020102;4;945;945-4
10020302;4;900;900-4
10020202;2;812;812-2
99140104;7;311;311-7
99160103;7;222;222-7
99150103;6;209;209-6
10020102;4;945;945-4
10020102;3;915;915-3
10020202;4;870;870-4
10020102;3;915;915-3
10020102;2;885;885-2
11120101;9;606;606-9
10020102;4;945;945-4
99170301;4;606;606-4
99040007;7;428;428-7
99040009;7;311;311-7
99040008;7;361;361-7
11120103;8;382;382-8
99130201;2;746;746-2
10020202;3;840;840-3
10020202;4;870;870-4
10020102;3;915;915-3
10020102;3;915;915-3
99150103;6;209;209-6
99150103;6;209;209-6
11120102;7;428;428-7
99150103;6;209;209-6
99150103;6;209;209-6
99150103;6;209;209-6
10020102;3;915;915-3
10020103;4;835;835-4
11120102;7;428;428-7
10020102;2;885;885-2
10020302;3;870;870-3
11090303;7;428;428-7
99140104;8;332;332-8
99040009;8;332;332-8
99040008;7;361;361-7
10020302;4;900;900-4
99040009;7;311;311-7
99160103;8;236;236-8
99130203;4;351;351-4
99040009;9;353;353-9
99130201;2;746;746-2
99150103;4;185;185-4
99130203;3;326;326-3
99040009;9;353;353-9
99040008;8;382;382-8
10020202;3;840;840-3
99150103;6;209;209-6
99160103;4;185;185-4
99150103;5;197;197-5
10020203;1;580;580-1
10020304;1;509;509-1
10020103;4;835;835-4
10020202;3;840;840-3
10020304;2;542;542-2
10020202;4;870;870-4
10020103;4;835;835-4
10020202;4;870;870-4
99140104;8;332;332-8
10020103;4;835;835-4
11090302;9;606;606-9
11090302;8;574;574-8
10020102;3;915;915-3
10020102;3;915;915-3
