cadre_id/id;id;code;name
030000;03000001;03000001;Président de la Chambre des Représentants 
030000;03000002;03000002;Membre de la Chambre des Représentants 
030100;03010001;03010001;Conseiller
030101;03010101;03010101;Attachés administratif principal
030101;03010102;03010102;Attachés administratif
030102;03010201;03010201;Attaché administratif adjoint 2ème catégorie
030102;03010202;03010202;Attaché administratif adjoint 1°catégorie
030103;03010301;03010301;Secrétaire principal
030103;03010302;03010302;Secrétaire
030104;03010401;03010401;Agent principal
030104;03010402;03010402;Agent 
030105;03010501;03010501;Agent spécialisé 1° catégorie
030105;03010502;03010502;Agent spécialisé 2° catégorie
030105;03010503;03010503;Agent spécialisé 3° catégorie
030105;03010504;03010504;Agent spécialisé 4° catégorie
030200;03020001;03020001;Président de la chambre des conseillers
030200;03020002;03020002;Membres de la chambre des conseillers
040000;04000001;04000001;Premier Ministre 
040000;04000002;04000002;Ministre d'Etat  
040000;04000003;04000003;Ministre 
040000;04000004;04000004;Secrétaire général du gouvernement  
040000;04000005;04000005;Ministre délégué 
040000;04000006;04000006;Secrétaire d'Etat 
040000;04000007;04000007;Sous secrétaire d'Etat 
040101;04010101;04010101;Chargé d'études 
040101;04010102;04010102;Chargé de mission 
050000;05000001;05000001;Président de la cour des comptes 
050000;05000002;05000002;Emploi de procureur général du Roi  
050001;05000101;05000101;Magistrat hors grade 
050001;05000102;05000102;Magistrat du grade exceptionnel
050001;05000103;05000103;Magistrat du premier grade
050001;05000104;05000104;Magistrat du 2ème grade
050001;05000105;05000105;Magistrat du 3ème grade
060101;06010101;06010101;Commissaire judiciaire divisionnaire en chef
060101;06010102;06010102;Commissaire judiciaire divisionnaire
060102;06010201;06010201;Commissaire judiciaire
060103;06010301;06010301;Rédacteur judiciaire principal
060103;06010302;06010302;Rédacteur judiciaire
060104;06010401;06010401;Secrétaire greffier principal
060104;06010402;06010402;Secrétaire greffier
060105;06010501;06010501;Agent de bureau principal
060105;06010502;06010502;Agent de bureau
060106;06010601;06010601;Huissier principal
060106;06010602;06010602;Huissier
060200;06020001;06020001;Magistrat hors grade 
060200;06020002;06020002;Magistrat de grade exceptionnel
060200;06020003;06020003;Magistrat de 1er grade
060200;06020004;06020004;Magistrat de 2ème grade
060200;06020005;06020005;Magistrat de 3ème grade
060301;06030101;06030101;Contrôleur général 
060302;06030201;06030201;Directeur hors classe
060303;06030301;06030301;Directeur d'établissement de 1ère classe
060303;06030302;06030302;Directeur d'établissement de 2ème classe
060303;06030303;06030303;Directeur d'établissement de 3ème classe
