id;code;name
pays_AF;AF;AFGHANISTAN
pays_AP;AP;APATRIDE
pays_BG;BG;BELGIQUE
pays_BO;BO;BOLIVIE
pays_BU;BU;BULGARIE
pays_CA;CA;CANADA
pays_CG;CG;Congo
pays_CH;CH;CHINE
pays_CL;CL;CHILI
pays_CO;CO;COREA DE SUD
pays_CR;CR;CAMEROUNE
pays_CS;CS;TCHECOSLOVAQUIE
pays_CU;CU;CUBA
pays_DD;DD;RDA
pays_DF;DF;RFA
pays_DZ;DZ;ALGERIE
pays_EG;EG;EGYPTE
pays_ET;ET;ETHIOPIE
pays_FI;FI;FINLANDE
pays_FR;FR;FRANCE
pays_GB;GB;GRANDE BRETAGNE
pays_GR;GR;GRECE
pays_GU;GU;GUINEE
pays_HA;HA;HAITIE
pays_HG;HG;HONGRIE
pays_ID;ID;INDE
pays_IK;IK;IRAK
pays_IT;IT;ITALIE
pays_IV;IV;COTE D'IVOIRE
pays_JO;JO;YOUGOSLAVIE
pays_JP;JP;JAPON
pays_JR;JR;JORDANIE
pays_LI;LI;LIBAN
pays_LY;LY;LIBYE
pays_MA;MA;MAROC
pays_ML;ML;MALI
pays_MR;MR;MAURITANIE
pays_MS;MS;MALAISIE
pays_MT;MT;MALTE
pays_NL;NL;HOLLANDE
pays_NR;NR;NIGER
pays_PA;PA;PALESTINE
pays_PK;PK;PAKISTAN
pays_PL;PL;POLOGNE
pays_PO;PO;PORTUGAL
pays_RI;RI;IRLANDE
pays_RO;RO;ROUMANIE
pays_RU;RU;RUSSIE
pays_SA;SA;SAOUDIA
pays_SD;SD;SUEDE
pays_SE;SE;SENEGALE
pays_SO;SO;SOUDAN
pays_SP;SP;ESPAGNE
pays_SU;SU;SUISSE
pays_SY;SY;SYRIE
pays_TH;TH;THAILANDE
pays_TR;TR;TURQUIE
pays_TU;TU;TUNISIE
pays_UR;UR;URUGUAY
pays_US;US;AMERIQUE
pays_VI;VI;VIETNAM
