id;region_id/id;code;name
province24;region1;24;RABAT
province46;region1;46;SALE
province47;region1;47;SKHIRAT-TEMARA
province9;region1;9;KHEMISSET
province25;region2;25;CASABLANCA-ANFA
province42;region2;42;BEN MSIK-S.OTHMANE
province43;region2;43;AIN SEBAA-H.MOHAMADI
province44;region2;44;H.HASSANI-AIN CHOQ
province45;region2;45;MOHAMMADIA-ZENATA
province48;region2;48;EL FIDA-DERB SOLTNE
province53;region2;53;SIDI EL BERNOUSSI
province1;region3;1;AGADIR IDA-OU-TANANE
province16;region3;16;OUARZAZATE
province30;region3;30;TIZNIT
province41;region3;41;TAROUDANNT
province64;region3;64;INEZGANE-AIT-MELLOUL
province65;region3;65;CHTOUKA AIT BAHA
province2;region4;2;AL HOCEIMA
province22;region4;22;TAZA
province36;region4;36;TAOUNATE
province26;region5;26;AZILAL
province3;region5;3;BENI MELLAL
province27;region6;27;BOULEMANE
province52;region6;52;FES-JDID DAR DBIBEGH
province55;region6;55;ZOUAGHA MY YAACOUB
province56;region6;56;SEFROU
province6;region6;6;FES MEDINA
province21;region7;21;TAN-TAN
province32;region7;32;ES-SEMARA
province35;region7;35;TATA
province37;region7;37;GUELMIM
province66;region7;66;ASSA-ZAG
province40;region8;40;SIDI KACEM
province8;region8;8;KENITRA
province31;region9;31;BOUJDOUR
province33;region9;33;LAAYOUNE
province13;region10;13;MARRAKECH
province29;region10;29;ESSAOUIRA
province5;region10;5;EL KELAA-DES-SRARHNA
province50;region10;50;MARRAKECH-HAOUZ
province51;region10;51;MARRAKECH-MENARA
province57;region10;57;SIDI YOUSSEF BEN ALI
province58;region10;58;CHICHAOUA
province10;region11;10;KHENIFRA
province12;region11;12;ERRACHIDIA
province14;region11;14;MEKNES
province38;region11;38;IFRANE
province59;region11;59;AL ISMAILIA
province60;region11;60;EL HAJEB
province39;region12;39;OUAD ED-DAHAB
province15;region13;15;NADOR
province61;region13;61;OUJDA ANGAD
province62;region13;62;BERKANE TAOURIRT
province63;region13;63;JERADA
province7;region13;7;FIGUIG
province18;region14;18;SAFI
province4;region14;4;EL JADIDA
province11;region15;11;KHOURIBGA
province19;region15;19;SETTAT
province34;region15;34;BEN-SLIMANE
province20;region16;20;TANGER
province23;region16;23;TETOUAN
province28;region16;28;CHEFCHAOUEN
province49;region16;49;LARACHE
province97;region97;97;Province non identifiée
province98;region98;98;ETRANGER
