id;name
diplome1;Brevet de capitaine au long cours
diplome2;Brevet de capitaine de 2ème classe
diplome3;Brevet de capitaine de 3ème classe
diplome4;Brevet de capitaine de pêche
diplome6;Brevet de lieutenant au long cours
diplome7;Brevet de lieutenant de 2ème classe
diplome8;Brevet de lieutenant de 2ème classe (section port)
diplome9;Brevet de lieutenant de pêche
diplome10;Brevet de lieutenant mécanicien de 1ère classe
diplome11;Brevet de mécanicien d'application
diplome12;Brevet de mécanicien pratique
diplome13;Brevet de patron de pêche au large
diplome14;Brevet de patron de pêche cotière
diplome15;Brevet d'officier mécanicien de 1ère classe
diplome16;Brevet d'officier mécanicien de 2ème classe de la marine marchande
diplome17;Brevet d'officier mécanicien de 3ème classe
diplome18;Brevet d'officier radio-éléctronicien de la marine marchande
diplome19;Certificat d'aptitude professionnelle d'instructeur
diplome20;Certificat de chef de marine long cours
diplome21;Certificat d'élétro-mécanique des phares
diplome22;Diplôme d'administrateur des affaires maritimes
diplome23;Diplôme de capitaine de la marine marchande
diplome24;Diplôme de capitaine de pêche cotière
diplome25;Diplôme de chef de quart
diplome26;Diplôme d'inspecteur pédagogique de l'enseignement primaire de 1er grade
diplome27;Diplôme de professeur d'enseignement primaire de 3ème grade
diplome28;Diplôme d'inspecteur pédagogique de l'enseignement secondaire/collegial de 1er grade
diplome29;Diplôme d'inspecteur pédagogique de l'enseignement secondaire/collegial de 2ème grade
diplome30;Diplôme de professeur d'enseignement secondaire/collegial 3ème grade
diplome31;Diplôme d'inspecteur pédagoqgique de l'enseignement secondaire qualifiant de 1er grade
diplome32;Certificat de qualification de l'enseignement secondaire
diplome33;Certificat du 2ème cycle d'agregation(ENS)
diplome34;Diplôme de conseiller en planification pédagogique de 2ème grade
diplome35;Diplôme d'inspecteur pédagogique de 1er grade
diplome36;Diplôme d'inspecteur des services matériels et financiers de 1er grade
diplome37;Diplôme de conseiller d'orientation pédagogique de 2éme grade
diplome38;Diplôme d'inspecteur pédagogique de l'enseignement primaire 1er grade
diplome39;Diplôme d'inspecteur pédagogique de l'enseignement secondaire/collegial 1er grade
diplome40;Diplôme d'inspecteur pédagogique de l'enseignement secondaire/qualifiant 1er grade
diplome41;Diplôme d'orientation pédagogique 1er grade
diplome42;Diplôme d'etat de 1er cycle des études paramedicales
diplome43;Diplôme en administration sanitaire
diplome44;Diplôme d'etat de 2ème cycle des études paramedicales
diplome45;Diplôme de technicien (option infirmier auxiliaire)
diplome46;Diplôme de technicien (option laboratoire)
diplome47;1er prix
diplome48;Diplôme de conducteur de chantier
diplome49;Diplôme de Conseiller
diplome50;Diplôme de contrôleur adjoint de la propriété foncière
diplome51;Diplôme d'Informatiste
diplome52;Diplôme d'Informatiste spécialisé
diplome53;Diplôme d'opérateur de radio
diplome54;Prix d'honneur
diplome55;Diplôme d'assistant scientifique des eaux et forets
diplome56;Diplôme du Cycle normal
diplome57;Diplôme du Cycle supérieur
diplome58;Diplôme du 1er cycle
diplome59;Diplôme du 2ème cycle
diplome60;Diplôme de 3ème cycle
diplome61;Master
diplome62;Master de 1er degré
diplome63;Diplôme d'agent technique
diplome64;Certificat de qualification professionnelle (CQP)
diplome65;Diplôme de Technicien
diplome66;Diplôme de Technicien spécialisé
diplome67;Diplôme de technicien superieur
diplome68;Brevet de technicien Supérieur (BTS)
diplome69;Diplôme de spécialité
diplome70;Diplôme des études universitaires générales (DEUG)
diplome71;Diplôme Universitaire de Technologie
diplome72;Diplôme des études universitaires professionnelles
diplome73;Dipomes des études universitaires en sciences et techniques
diplome74;Diplôme d'études Supérieures (DES)
diplome75;Diplôme d'études Supérieures Approfondies (DESA)
diplome76;Diplôme des Etudes Universitaires Supérieures Specialisées (DESS)
diplome77;Baccalauréat
diplome78;Licence
diplome79;Licence professionnelle
diplome80;Doctorat d'Etat
diplome81;Doctorat
diplome82;Diplôme d'ingénieur d'Etat
diplome83;Diplôme d'ingénieur d'Application
diplome84;Diplôme d'architecte
diplome85;Diplôme de chirugien-dentiste
diplome86;Diplôme bac+2
diplome87;Diplôme des ENCG
diplome88;Diplôme national d'expertise comptable
