id;name
et_type1;Centre de formation des contrôleurs adjoints de la propriété foncière
et_type2;Centre Régional de formation administrative
et_type3;Centre régional de formation relevant du Ministère de l'équipement
et_type4;Conservatoire de musique et d'art chorégraphique
et_type5;Ecole des Cadres du Ministère de la Santé
et_type6;Ecole des Sciences de l'Information
et_type7;Ecole figurant dans la liste fixée par arrêté du Ministre de l'équipement
et_type8;Ecole Nationale d'Administration
et_type9;Ecole pratique des mines de Touissit
et_type10;Ecole/Centre de formation d'Agents Techniques du Ministère l'Agriculture
et_type11;Ecoles supérieures de commerce et de gestion
et_type12;Etablissement de Formation Professionnelle
et_type13;Etablissement, délivrant des diplômes de spécialité, figurant sur la liste fixée par arrêté du Ministre chargé de la Santé
et_type14;Faculté des sciences
et_type15;Institut Agronomique et Vétérinaire Hassan II
et_type16;Institut national des sciences de l'archéologie et du patrimoine
et_type17;Institut Nationale de l'Action Sociale
et_type18;Institut Royal de la Formation des Cadres de la Jeunesse et des Sports
et_type19;Institut supérieur d'art dramatique et d'animation culturelle
et_type20;Institut Supérieur de Commerce et d'Administration des Entreprises
et_type21;Institut Supérieur des Etudes Maritimes
et_type22;Institut Supérieur du Tourisme
et_type23;Institut Technique Royal des Eaux et Forêts
et_type24;M.P.C
et_type25;P.C.B
et_type26;S.P.C.N
et_type27;Institut Superieur d'Administration(ISA)
et_type28;Ecoles Normales Superieures(ENS)
et_type29;Centres pedagogiques regionaux (CPR)
et_type30;Centres de formation des instituteurs (CFI)
et_type31;Faculté nationale
et_type32;Faculté des sciences et techniques
et_type33;Institut de Formation de Cadres Paramedicaux
et_type34;Institut Superieur de Journalisme
et_type35;Centre de Formation des Cadres techniques (MI)
et_type36;Ecole de Perfetionnement des Cadres du Ministere de l'Interieur
et_type37;Ecoles nationales d'ingenieurs (EMI, EHTP, ENSIAS, Mines,…)
et_type38;Facultés de medecine
et_type39;Facultés de chirurgie dentaire
et_type40;Facultés de pharmacie
