id;province_id/id;code;name
ville700;province24;700;RABAT
ville777;province46;777;SALE
ville783;province46;783;SIDI BOUKNADEL
ville793;province46;793;SHOUL -ARBA-
ville706;province47;706;AIN ATTIG
ville707;province47;707;AIN EL-AOUDA
ville784;province47;784;SIDI YAHYA ZAER
ville792;province47;792;SKHIRATE
ville798;province47;798;TEMARA
ville710;province9;710;AIT OURIBEL
ville725;province9;725;ROMMANI
ville726;province9;726;SIDI ALLAL EL BAHRAOUI
ville727;province9;727;MOULAY DRISS AGHBAL
ville752;province9;752;KHEMISSET
ville755;province9;755;MAAZIZ
ville757;province9;757;SFASSIF
ville758;province9;758;SIDI ALLAL LAMSADDER
ville760;province9;760;BOUQACHMIR
ville761;province9;761;AIT YADINE
ville765;province9;765;AIT IKKOU
ville766;province9;766;LAGHOUALEM
ville772;province9;772;OULMES
ville795;province9;795;AIT MIMOUNE
ville797;province9;797;TIDDAS
ville800;province9;800;TIFLET
ville801;province9;801;M'QAM TOLBA
ville803;province9;803;KHEMIS SIDI YAHYA
ville814;province9;814;EZZHILIGA
ville822;province9;822;BRACHOUA
ville842;province9;842;MARCHOUCH
ville1;province25;1;CASABLANCA
ville127;province25;127;CASA-ANFA
ville132;province42;132;CASA-BEN MSIK SIDI OTHMANE
ville57;province42;57;MEDIOUNA
ville131;province43;131;CASA-AIN SBAA HAY MOHAMMADI
ville133;province44;133;CASA AIN CHOK HAY HASSANI
ville33;province44;33;BOUSKOURA
ville36;province44;36;DAR BOUAZZA
ville506;province44;506;AIN GUEDDID
ville893;province44;893;NOUACEUR
ville45;province45;45;MOHAMMEDIA
ville178;province48;178;EL FIDA
ville242;province53;242;CASA-SIDI EL BERNOUSSI ZENATA
ville4;province53;4;AIN HARROUDA
ville91;province53;91;TIT MELLIL
ville900;province1;900;AGADIR
ville919;province1;919;BENSERGAOU
ville932;province1;932;IMMOUZER IDA-OU-TANANE
ville942;province1;942;TAMRI
ville971;province1;971;TIKIOUINE
ville303;province16;303;AGDZ
ville321;province16;321;AMERZGANE
ville330;province16;330;BOUMALNE-DADES
ville341;province16;341;KELAAT M'GOUNA
ville350;province16;350;IKNIOUEN
ville351;province16;351;TINZOULINE
ville355;province16;355;TAGHZOUTE N'AIT ATTA
ville363;province16;363;MHAMID EL GHIZLANE
ville366;province16;366;OUARZAZATE
ville374;province16;374;TILMI
ville377;province16;377;M'SEMRIR
ville383;province16;383;SKOURA
ville385;province16;385;TOUNDOUTE
ville389;province16;389;IMIN-N-OULAOUEN
ville391;province16;391;TAGOUNITE
ville400;province16;400;TELOUET
ville404;province16;404;TAZARINE
ville405;province16;405;TAZNAKHT
ville414;province16;414;TINGHIR
ville425;province16;425;ZAGORA
ville119;province30;119;TINE AMELLOU
ville120;province30;120;SBOUYA
ville139;province30;139;IRIGH N'TAHALA
ville140;province30;140;AFFELA IGHIR
ville142;province30;142;IDA OU GOUGMAR
ville887;province30;887;ANEZI
ville902;province30;902;TNINE AGLOU
ville935;province30;935;EL MAADER EL KABIR
ville938;province30;938;MIRLEFT
ville939;province30;939;OUIJJANE
ville941;province30;941;TAFRAOUT
ville945;province30;945;LAKHSAS
ville948;province30;948;TIGHMI
