id,nbr,cod_cmp,lic_tpd,lib_dip,province,pays,univ,annee
apogee_globalins_46118958,3,FDM,Licence U,L.U.en Technico-commercial,RABAT,MAROC,UH2M,2011
apogee_globalins_46118959,1,FDM,Licence U,L.U.en Technico-commercial,SETTAT,MAROC,UH2M,2011
apogee_globalins_46118960,1,FDM,Licence U,L.U.en Technico-commercial,KENITRA,MAROC,UH2M,2011
apogee_globalins_46118961,1,FDM,Licence U,L.U.en Technico-commercial,KHENIFRA,MAROC,UH2M,2011
apogee_globalins_46118962,2,FDM,Licence U,L.U.en Technico-commercial,EL JADIDA,MAROC,UH2M,2011
apogee_globalins_46118963,1,FDM,Licence U,L.U.en Technico-commercial,KHOURIBGA,MAROC,UH2M,2011
apogee_globalins_46118964,1,FDM,Licence U,L.U.en Technico-commercial,BENSLIMANE,MAROC,UH2M,2011
apogee_globalins_46118965,2,FDM,Licence U,L.U.en Technico-commercial,MOHAMMADIA,MAROC,UH2M,2011
apogee_globalins_46118966,2,FDM,Licence U,L.U.en Technico-commercial,SALE BOUKNADEL,MAROC,UH2M,2011
apogee_globalins_46118967,4,FDM,Licence U,L.U.en Technico-commercial,CASABLANCA ANFA,MAROC,UH2M,2011
apogee_globalins_46118968,1,FDM,Licence U,L.U.en Technico-commercial,SKHIRATE-TEMARA,MAROC,UH2M,2011
apogee_globalins_46118969,1,FDM,Licence U,L.U.en Technico-commercial,AL FIDA DERB SULTAN,MAROC,UH2M,2011
apogee_globalins_46118970,2,FDM,Licence U,L.U.en Technico-commercial,AIN CHOCK HAY HASSANI,MAROC,UH2M,2011
apogee_globalins_46118971,2,FDM,Licence U,L.U.en Technico-commercial,SIDI BERNOUSSI ZENATA,MAROC,UH2M,2011
apogee_globalins_46118972,6,FDM,Licence U,L.U.en Technico-commercial,AIN SEBAA HAY MOHAMMEDI,MAROC,UH2M,2011
apogee_globalins_46118973,7,FDM,Licence U,L.U.en Gestion administrative,RABAT,MAROC,UH2M,2011
apogee_globalins_46118974,1,FDM,Licence U,L.U.en Gestion administrative,AZILAL,MAROC,UH2M,2011
apogee_globalins_46118975,1,FDM,Licence U,L.U.en Gestion administrative,SETTAT,MAROC,UH2M,2011
apogee_globalins_46118976,4,FDM,Licence U,L.U.en Gestion administrative,KHOURIBGA,MAROC,UH2M,2011
apogee_globalins_46118977,1,FDM,Licence U,L.U.en Gestion administrative,BENSLIMANE,MAROC,UH2M,2011
apogee_globalins_46118978,1,FDM,Licence U,L.U.en Gestion administrative,FES-MEDINA,MAROC,UH2M,2011
apogee_globalins_46118979,3,FDM,Licence U,L.U.en Gestion administrative,MOHAMMADIA,MAROC,UH2M,2011
apogee_globalins_46118980,1,FDM,Licence U,L.U.en Gestion administrative,OUARZAZATE,MAROC,UH2M,2011
apogee_globalins_46118981,2,FDM,Licence U,L.U.en Gestion administrative,BENI MELLAL,MAROC,UH2M,2011
apogee_globalins_46118982,1,FDM,Licence U,L.U.en Gestion administrative,SALE BOUKNADEL,MAROC,UH2M,2011
apogee_globalins_46118983,3,FDM,Licence U,L.U.en Gestion administrative,CASABLANCA ANFA,MAROC,UH2M,2011
apogee_globalins_46118984,1,FDM,Licence U,L.U.en Gestion administrative,SIDI BERNOUSSI ZENATA,MAROC,UH2M,2011
apogee_globalins_46118985,1,FDM,Licence U,L.U.en Gestion administrative,AIN SEBAA HAY MOHAMMEDI,MAROC,UH2M,2011
apogee_globalins_46118986,1,FDM,Licence U,L.U.en Gestion administrative,MOULAY RCHID SIDI OTMANE,MAROC,UH2M,2011
apogee_globalins_46118987,1,FDM,Licence U,L.U.en Logistique et commerce,SAFI,MAROC,UH2M,2011
apogee_globalins_46118988,3,FDM,Licence U,L.U.en Logistique et commerce,RABAT,MAROC,UH2M,2011
apogee_globalins_46118989,1,FDM,Licence U,L.U.en Logistique et commerce,SETTAT,MAROC,UH2M,2011
apogee_globalins_46118990,1,FDM,Licence U,L.U.en Logistique et commerce,KENITRA,MAROC,UH2M,2011
apogee_globalins_46118991,5,FDM,Licence U,actuariat et techniques d assurance,RABAT,MAROC,UH2M,2011
apogee_globalins_46118992,1,FDM,Licence U,L.U.en Logistique et commerce,KHENIFRA,MAROC,UH2M,2011
apogee_globalins_46118993,2,FDM,Licence U,L.U.en Logistique et commerce,FES-MEDINA,MAROC,UH2M,2011
apogee_globalins_46118994,4,FDM,Licence U,L.U.en Logistique et commerce,MOHAMMADIA,MAROC,UH2M,2011
apogee_globalins_46118995,1,FDM,Licence U,L.U.en Logistique et commerce,BENI MELLAL,MAROC,UH2M,2011
apogee_globalins_46118996,1,FDM,Licence U,L.U.en Logistique et commerce,BEN MSICK MEDIOUNA,MAROC,UH2M,2011
apogee_globalins_46118997,2,FDM,Licence U,L.U.en Logistique et commerce,AIN CHOCK HAY HASSANI,MAROC,UH2M,2011
apogee_globalins_46118998,1,FDM,Licence U,L.U.en Logistique et commerce,SIDI BERNOUSSI ZENATA,MAROC,UH2M,2011
apogee_globalins_46118999,2,FDM,Licence U,L.U.en Logistique et commerce,MOULAY RCHID SIDI OTMANE,MAROC,UH2M,2011
apogee_globalins_46119000,1,FDM,Licence U,L.U.en Management Comptable et Financier,BENI MELLAL,MAROC,UH2M,2011
apogee_globalins_46119001,1,FDM,Licence U,L.U.en Management Comptable et Financier,SIDI KACEM,MAROC,UH2M,2011
apogee_globalins_46119002,1,FDM,Licence U,L.U.en Management Comptable et Financier,MOHAMMADIA,MAROC,UH2M,2011
apogee_globalins_46119003,1,FDM,Licence U,L.U.en Management Comptable et Financier,BENSLIMANE,MAROC,UH2M,2011
apogee_globalins_46119004,1,FDM,Licence U,L.U.en Management Comptable et Financier,EL JADIDA,MAROC,UH2M,2011
apogee_globalins_46119005,1,FDM,Licence U,L.U.en Management Comptable et Financier,KHENIFRA,MAROC,UH2M,2011
apogee_globalins_46119006,1,FDM,Licence U,L.U.en Management Comptable et Financier,RABAT,MAROC,UH2M,2011
apogee_globalins_46119007,2,FDM,Licence U,L.U.en Management Comptable et Financier,SAFI,MAROC,UH2M,2011
apogee_globalins_46119008,1,FDM,Licence U,actuariat et techniques d assurance,MOHAMMADIA,MAROC,UH2M,2011
